 56.71 62.49 67.22 61.09 54.81 61.38 74.82 64.32 75.67 71.27 61.43 71.73 57.17 73.96 58.49 66.89 67.43 71.98 69.44 66.61 69.65 75.03 67.99 57.83 67.28 62.31 55.72 64.92 66.95 69.14
 54.82 61.10 65.27 59.52 52.01 59.53 72.23 62.45 73.64 68.74 58.50 69.42 55.18 71.14 55.02 64.96 65.18 69.74 66.37 63.36 66.80 72.24 65.04 54.94 64.78 59.97 52.46 62.30 62.80 66.45
 54.40 60.90 64.60 59.24 50.67 58.87 70.73 61.54 72.61 67.31 57.07 68.20 54.53 69.66 53.00 63.99 64.38 68.54 64.40 61.18 65.06 70.47 63.12 53.47 63.38 58.96 50.88 60.73 59.96 64.69
 56.00 63.09 66.06 61.00 51.72 60.51 71.47 62.71 73.75 68.11 57.55 69.16 56.05 70.36 53.50 65.30 65.65 69.49 64.64 61.39 65.75 70.96 63.53 54.21 64.31 60.20 51.46 61.43 59.58 65.44
 52.10 60.06 62.53 57.45 47.10 56.80 67.41 58.28 70.34 63.97 52.75 64.96 51.92 66.46 48.45 61.31 61.78 65.46 59.85 56.54 61.18 66.70 58.59 49.50 60.02 56.22 46.97 56.81 54.07 60.95
 50.15 58.98 60.57 55.64 44.79 54.91 64.65 55.81 67.93 61.30 49.71 62.45 49.93 63.73 45.71 59.04 59.74 63.05 56.68 53.21 58.26 63.73 55.37 47.01 57.65 54.08 44.43 53.97 50.31 58.33
 47.85 57.97 58.55 53.70 42.38 53.01 61.94 52.93 65.90 58.64 46.43 59.83 47.58 61.34 42.91 56.73 57.58 60.51 53.65 50.12 55.44 60.86 52.10 44.27 55.09 51.93 41.99 51.10 46.82 55.73
 44.84 55.93 55.77 50.82 39.28 50.32 58.54 49.09 62.67 55.37 42.59 56.33 44.46 58.13 39.60 53.47 54.57 57.15 49.77 46.21 51.82 57.37 48.02 41.02 51.93 48.75 38.93 47.35 42.95 52.36
 41.84 53.94 52.69 47.76 36.41 47.54 54.80 45.14 59.55 51.77 38.53 52.99 41.33 54.91 36.51 50.22 51.60 53.83 46.03 42.56 48.24 53.62 43.92 37.78 48.73 45.87 36.15 43.73 39.18 48.99
 38.89 52.09 49.73 44.73 33.70 44.85 51.27 41.35 56.33 48.35 34.66 49.70 38.16 51.94 33.56 46.95 48.77 50.54 42.31 38.89 44.82 50.13 39.96 34.75 45.68 43.00 33.48 40.07 35.68 45.74
 35.13 49.27 46.02 40.69 30.38 41.42 47.07 36.68 52.72 44.45 30.08 45.72 34.08 48.39 30.22 43.02 44.80 46.71 38.23 34.97 41.06 46.31 35.50 31.22 41.94 39.40 30.53 36.09 32.08 41.98
 32.03 47.23 42.64 37.30 27.69 38.55 43.08 32.77 49.17 40.77 25.97 42.36 30.80 45.17 27.37 39.51 41.61 43.33 34.51 31.38 37.63 42.68 31.54 28.31 38.69 36.26 27.92 32.46 28.91 38.64
 28.57 44.22 38.75 33.35 24.94 35.24 38.67 28.58 45.23 36.75 21.61 38.58 27.09 41.53 24.61 35.61 37.57 39.56 30.86 27.94 34.13 38.95 27.39 25.28 35.20 32.85 25.41 28.82 25.84 35.02
 24.62 41.11 34.45 29.14 21.68 31.59 34.02 24.04 41.07 32.35 16.81 34.63 23.06 37.64 21.31 31.46 33.39 35.60 26.82 23.97 30.36 34.95 23.01 21.92 31.26 28.95 22.26 24.81 22.28 31.17
